PRT_ID,Model_1,Model_2,Model_3
P05766,11737546000.0,10527900000.0,3903000800.0
P05537,17451465000.0,13551303000.0,4723566600.0
P05907,9975370000.0,9568045000.0,3502561000.0
P07539,18823045000.0,14199300000.0,4815675400.0
P03411,10065760000.0,9676019000.0,3535127600.0
P03943,22426040000.0,16210280000.0,5480134000.0
P05196,20259800000.0,15026920000.0,5044084700.0
P05109,14315110000.0,11886835000.0,4238652200.0
P03367,15115480000.0,12327413000.0,4255045000.0
P05199,15919071000.0,12700764000.0,4425302000.0
P05119,23025844000.0,16506660000.0,5552320000.0
P07229,12299602000.0,10852645000.0,3903760000.0
P03217,22115746000.0,16033311000.0,5285117400.0
P07688,19161720000.0,14457546000.0,4956316000.0
P09453,12857977000.0,11073620000.0,4001185000.0
P00678,13130928000.0,11222734000.0,3996585500.0
P05616,23374234000.0,16688894000.0,5547055000.0
P05357,10617844000.0,9915226000.0,3621928200.0
P07928,13622378000.0,11556899000.0,4029849000.0
P04492,18340053000.0,13993226000.0,4679865300.0
P07200,14472593000.0,11964019000.0,4127262200.0
P06435,9493927000.0,9336783000.0,3380479000.0
P04653,12312529000.0,10830053000.0,3923941000.0
P06673,17744302000.0,13736090000.0,4679054000.0
P02781,17643629000.0,13679252000.0,4696541000.0
P07527,14007865000.0,11668724000.0,4092244500.0
P09634,20112040000.0,14942866000.0,5070394000.0
P04240,20338560000.0,15021570000.0,5057563600.0
P03767,15538010000.0,12571275000.0,4341889000.0
P06007,22489342000.0,16230840000.0,5331050000.0
P02314,13764955000.0,11590577000.0,4209482800.0
P09354,19934919000.0,14789533000.0,4949122600.0
P01593,21932136000.0,15888198000.0,5350909000.0
P02947,17249534000.0,13421974000.0,4682717000.0
P02013,13321667000.0,11320109000.0,4033166000.0
P06240,12618410000.0,10928517000.0,3921447400.0
P06316,15980028000.0,12713359000.0,4397852700.0
P04505,14069799000.0,11728749000.0,4041997300.0
P07521,17607200000.0,13577642000.0,4607689700.0
P08159,24722980000.0,17381920000.0,5668147700.0
P08010,13664542000.0,11551896000.0,4079739000.0
P01827,11229083000.0,10204747000.0,3744591400.0
P00963,9726804000.0,9415222000.0,3510732500.0
P00340,21719159000.0,15837557000.0,5362568000.0
P02936,14326290000.0,11872498000.0,4230544400.0
P09379,19194745000.0,14417758000.0,4861843500.0
P09628,18927403000.0,14286248000.0,4936110000.0
P01538,13118355000.0,11224577000.0,3932941800.0
P01624,10512778000.0,9932892000.0,3570856000.0
P05406,14530343000.0,11979557000.0,4118305000.0
P08864,9440993000.0,9271395000.0,3457990700.0
P09474,19165910000.0,14449576000.0,4850615000.0
P07798,22281228000.0,16114352000.0,5381993500.0
P08887,20280780000.0,15087432000.0,5002060000.0
P06913,15379671000.0,12442857000.0,4313065500.0
P10034,22149655000.0,15960107000.0,5246049300.0
P07624,21643670000.0,15731863000.0,5339278300.0
P02219,10148876000.0,9692770000.0,3480596700.0
P03599,17776265000.0,13703383000.0,4720122000.0
P03703,18836257000.0,14278284000.0,4750165000.0
P06148,9413194000.0,9279161000.0,3435626000.0
P04714,14636686000.0,12061114000.0,4294418700.0
P03623,15904362000.0,12689248000.0,4469128700.0
P05121,9824215000.0,9503530000.0,3456030200.0
P01880,15814472000.0,12642210000.0,4435527000.0
P06043,22403242000.0,16178470000.0,5404140000.0
P06046,18407752000.0,14030907000.0,4868922400.0
P08327,14903376000.0,12213742000.0,4262843400.0
P07360,16153164000.0,12858662000.0,4352595000.0
P09057,20129432000.0,14959583000.0,4958159400.0
P07509,15235213000.0,12388205000.0,4309417000.0
P05112,11071517000.0,10113692000.0,3771689000.0
P03704,18985791000.0,14368979000.0,4883754000.0
P09980,19237618000.0,14513744000.0,4840509400.0
P02630,17880207000.0,13765264000.0,4692045000.0
P03738,13174096000.0,11256986000.0,4094251500.0
P05488,10062793000.0,9592876000.0,3514859300.0
P03078,19502162000.0,14676064000.0,4860164600.0
P09894,18659430000.0,14193234000.0,4889552000.0
P04897,17003342000.0,13289566000.0,4645303000.0
P03901,17838985000.0,13731959000.0,4787976000.0
P00491,20452448000.0,15168208000.0,5149091000.0
P05563,13947561000.0,11660915000.0,4087710000.0
P09576,21476098000.0,15607363000.0,5136962600.0
P01099,9868400000.0,9516588000.0,3531926500.0
P02876,27133300000.0,18669152000.0,6132447000.0
P09011,20145721000.0,14946472000.0,4983786500.0
P06294,14336052000.0,11906914000.0,4191297800.0
P07647,21933212000.0,15956994000.0,5322544000.0
P02464,18721450000.0,14215347000.0,4728279600.0
P04643,10371903000.0,9820183000.0,3694692000.0
P01093,11023751000.0,10149480000.0,3586000400.0
P06209,22061955000.0,15974902000.0,5368936400.0
P08732,13145311000.0,11242512000.0,4104507600.0
P01689,20131641000.0,14982179000.0,5024901600.0
P00778,10616276000.0,9955848000.0,3527025700.0
P06378,18855576000.0,14290684000.0,4746434000.0
P00538,19222303000.0,14434519000.0,4859054000.0
P08785,14070737000.0,11711076000.0,4219218000.0
P09508,9366610000.0,9233568000.0,3428038100.0
P09175,11324839000.0,10317380000.0,3677864400.0
P09969,20823073000.0,15301263000.0,5148299300.0
P05389,20166210000.0,15023294000.0,4989932500.0
P07079,19746028000.0,14732040000.0,4933656600.0
P09703,20471503000.0,15139640000.0,5077311000.0
P06582,16678593000.0,13093966000.0,4605321700.0
P08958,14639089000.0,12089213000.0,4296715300.0
P04926,17883152000.0,13773898000.0,4633307000.0
P07107,19733647000.0,14716177000.0,5041330000.0
P09073,9717736000.0,9439767000.0,3442997800.0
P07133,18960843000.0,14283567000.0,4910795000.0
P00389,19045425000.0,14389931000.0,4785962000.0
P00560,11776270000.0,10573619000.0,3901633000.0
P04919,16720471000.0,13102264000.0,4550014000.0
P08056,12366907000.0,10870067000.0,3883269400.0
P00824,10164139000.0,9661592000.0,3558833400.0
P08874,22223446000.0,16062370000.0,5376950300.0
P02092,20883081000.0,15338743000.0,5079551000.0
P02109,11588957000.0,10422761000.0,3746456000.0
P01254,12648991000.0,11006847000.0,3841588500.0
P04212,12271648000.0,10826736000.0,3959019800.0
P01824,13285380000.0,11372021000.0,4025158000.0
P09328,21420315000.0,15596509000.0,5198262300.0
P05769,9048398000.0,9077477000.0,3288627200.0
P04458,18573087000.0,14082656000.0,4792188400.0
P02436,19865903000.0,14803267000.0,4906878000.0
P09316,19548547000.0,14662721000.0,5014613000.0
P04676,16382408000.0,13013108000.0,4502739000.0
P06952,13833947000.0,11656589000.0,4168908300.0
P06041,18167824000.0,13946398000.0,4655052000.0
P04312,12694307000.0,11049809000.0,3857985500.0
P08794,15349584000.0,12402711000.0,4325145600.0
P00853,10837811000.0,10091912000.0,3695742500.0
P01372,21519180000.0,15668845000.0,5297285600.0
P02672,14087455000.0,11715482000.0,4075240400.0
P02257,12245670000.0,10795477000.0,3781658400.0
P05289,19344724000.0,14544384000.0,4852788700.0
P05139,21149860000.0,15452240000.0,5183047700.0
P09031,9877921000.0,9532456000.0,3445170000.0
P04644,11473627000.0,10383203000.0,3778333200.0
P04288,22225895000.0,16088915000.0,5316908000.0
P02360,13754282000.0,11594186000.0,4121811000.0
P07810,14462831000.0,11907201000.0,4192275500.0
P06351,17595056000.0,13631702000.0,4707144700.0
P01247,18515350000.0,14115279000.0,4857057300.0
P07781,8897291000.0,8980111000.0,3337589800.0
P05467,14070219000.0,11763126000.0,4183209200.0
P04371,19497370000.0,14594989000.0,4968202000.0
P03536,17669933000.0,13611667000.0,4614380500.0
P05498,19675566000.0,14760618000.0,4967897600.0
P05300,13172479000.0,11241286000.0,4023878100.0
P04548,25389191000.0,17778369000.0,5770754000.0
P05642,15379675000.0,12482900000.0,4397828600.0
P08738,15261045000.0,12366207000.0,4416975400.0
P02597,9276780000.0,9151932000.0,3328635100.0
P05843,19367830000.0,14522146000.0,4977907700.0
P09446,11071750000.0,10169385000.0,3719923700.0
P09528,20416014000.0,15035339000.0,5120837000.0
P03007,15468299000.0,12440269000.0,4340130000.0
P04611,18357785000.0,13966217000.0,4791094000.0
P00751,18652082000.0,14161912000.0,4893289500.0
P07016,20298970000.0,15092224000.0,5072372700.0
P08901,10298357000.0,9797528000.0,3495843300.0
P02105,20427244000.0,15138206000.0,5069405000.0
P02674,21736534000.0,15787368000.0,5276314600.0
P08108,27102515000.0,18609025000.0,6119303000.0
P09038,14781458000.0,12169595000.0,4243215400.0
P07683,10057230000.0,9685393000.0,3456843000.0
P08503,21172578000.0,15507344000.0,5224987600.0
P00482,10437999000.0,9794363000.0,3669629000.0
P06504,21880426000.0,15932092000.0,5260551700.0
P09099,21693864000.0,15740951000.0,5242445000.0
P09182,14679473000.0,12070511000.0,4231380500.0
P03510,13357667000.0,11417548000.0,3976148700.0
P05599,20427911000.0,15097674000.0,5001490400.0
P04465,24685498000.0,17381648000.0,5685105700.0
P05656,11045896000.0,10183676000.0,3598789600.0
P10021,20531515000.0,15130793000.0,5041545700.0
P08564,12273210000.0,10807115000.0,3938485800.0
P07447,17976963000.0,13794064000.0,4685583400.0
P02654,13994865000.0,11704629000.0,4115446500.0
P05986,19384496000.0,14546209000.0,4867486700.0
P02417,14653031000.0,12090638000.0,4318910500.0
P07789,14818066000.0,12130398000.0,4164670500.0
P03243,18749379000.0,14267475000.0,4839981000.0
P01393,22350438000.0,16127090000.0,5417278500.0
P09963,22213456000.0,16044429000.0,5223568400.0
P04522,13848349000.0,11664768000.0,4158441200.0
P01575,12720922000.0,11078272000.0,3933937200.0
P07529,12552092000.0,10927191000.0,3864081400.0
P02675,12466296000.0,10949438000.0,3862732300.0
P01852,10042943000.0,9608395000.0,3479409700.0
P05765,13440929000.0,11402896000.0,4091303400.0
P09319,10010073000.0,9593004000.0,3460674000.0
P04117,18939978000.0,14294204000.0,4922406000.0
P01879,20142293000.0,14968744000.0,4936525000.0
P06981,18852688000.0,14286697000.0,4959071000.0
P09051,12113018000.0,10714574000.0,3850659800.0
P01935,20280113000.0,14985763000.0,5108268000.0
P06922,9960405000.0,9526223000.0,3543131400.0
P02545,8729093000.0,8826406000.0,3228866800.0
P03982,19169210000.0,14409005000.0,4834967000.0
P09314,21352157000.0,15603288000.0,5226446000.0
P03882,13387453000.0,11340024000.0,3955855400.0
P09813,18743757000.0,14158800000.0,4773790700.0
P06733,12702026000.0,11009208000.0,3860119000.0
P01431,15256273000.0,12360676000.0,4246637000.0
P04763,16468910000.0,13061052000.0,4489854000.0
P01912,21957194000.0,15881164000.0,5241036000.0
P04538,11480255000.0,10372039000.0,3708093400.0
P08614,21492877000.0,15700333000.0,5286147000.0
P09439,18793677000.0,14212723000.0,4724482600.0
P04677,24243554000.0,17168262000.0,5673195500.0
P01387,14105298000.0,11812291000.0,4084666400.0
P08052,22919290000.0,16428683000.0,5420774000.0
P06581,15794543000.0,12608368000.0,4414526500.0
P07058,13734306000.0,11570122000.0,4023028700.0
P00299,15231838000.0,12389035000.0,4281707800.0
P09490,22012606000.0,15931707000.0,5311170600.0
P00630,14861367000.0,12172495000.0,4202183000.0
P05247,9741415000.0,9459139000.0,3429831000.0
P08743,12529851000.0,10918593000.0,3821196300.0
P05703,15162255000.0,12344457000.0,4318497300.0
P08649,10074292000.0,9630321000.0,3577723000.0
P01793,18750767000.0,14169483000.0,4892784600.0
P09267,13203898000.0,11304325000.0,4040918500.0
P02652,14946538000.0,12206152000.0,4277235700.0
P09383,20060324000.0,14944755000.0,5004119000.0
P08476,14296162000.0,11861232000.0,4197688000.0
P08499,13107784000.0,11236618000.0,3960810500.0
P00460,11474507000.0,10376868000.0,3806055000.0
P04570,9660588000.0,9442619000.0,3483342300.0
P02994,9418338000.0,9288397000.0,3390427400.0
P03675,15133862000.0,12324510000.0,4390537700.0
P09539,13414404000.0,11395109000.0,4027847200.0
P01315,11030381000.0,10189121000.0,3644264000.0
P02114,20214305000.0,15014796000.0,5130020000.0
P07267,21268023000.0,15565789000.0,5148101600.0
P03983,11863648000.0,10584738000.0,3804150800.0
P01345,20298470000.0,15079561000.0,5167040000.0
P06292,9126144000.0,9053251000.0,3392259600.0
P05096,11804787000.0,10517212000.0,3872592000.0
P00811,19578814000.0,14661927000.0,4994786300.0
P08636,13542181000.0,11478394000.0,4114599400.0
P05579,11397655000.0,10362886000.0,3655491600.0
P06735,18220149000.0,13942810000.0,4747198500.0
P04988,12564443000.0,10958963000.0,3863397400.0
P00541,17826585000.0,13765118000.0,4635689000.0
P07725,12182837000.0,10788461000.0,3789591600.0
P07950,24347824000.0,17225032000.0,5663475000.0
P03728,11050406000.0,10184833000.0,3717544200.0
P08587,9697957000.0,9448391000.0,3466386000.0
P05011,17499791000.0,13542342000.0,4612837000.0
P04846,20066190000.0,14928208000.0,4938381300.0
P02935,19220795000.0,14464182000.0,4987943000.0
P04445,9601073000.0,9415729000.0,3430791200.0
P04123,13643837000.0,11534486000.0,4127954400.0
P09010,14334798000.0,11854406000.0,4259721200.0
P04393,18327667000.0,14014845000.0,4822429700.0
P02344,21152797000.0,15537390000.0,5278030000.0
P02810,19040850000.0,14377490000.0,4874335700.0
P04409,9505270000.0,9310073000.0,3471827500.0
P07113,21470757000.0,15622702000.0,5211361300.0
P00517,19556745000.0,14688230000.0,5031241000.0
P02163,21591984000.0,15779017000.0,5249033700.0
P01712,15117704000.0,12282256000.0,4293368300.0
P06535,19914322000.0,14870928000.0,4915141600.0
P02771,18333657000.0,13994598000.0,4862742500.0
P09207,22189072000.0,16092829000.0,5283536000.0
P03516,10516129000.0,9901123000.0,3718807000.0
P08004,26254004000.0,18169709000.0,5820868000.0
P02891,13017123000.0,11211699000.0,3958659000.0
P09206,19751862000.0,14773169000.0,5020542500.0
P06555,20073943000.0,14938577000.0,5117331000.0
P00649,10158236000.0,9692553000.0,3527983600.0
P04032,17353310000.0,13538679000.0,4545888000.0
P02034,11870249000.0,10569826000.0,3787362000.0
P04518,17880269000.0,13816301000.0,4625187300.0
P06193,19048780000.0,14363637000.0,4840053000.0
P02369,12802512000.0,11096887000.0,3942703000.0
P08063,12154075000.0,10743095000.0,3799398000.0
P01022,11664673000.0,10485711000.0,3765452000.0
P03221,19400540000.0,14568487000.0,4924515000.0
P07034,21289218000.0,15526128000.0,5248756000.0
P00783,12367809000.0,10860989000.0,3799497200.0
P07078,17564172000.0,13596094000.0,4635744000.0
P03304,17174287000.0,13347966000.0,4559611400.0
P07736,17618650000.0,13656276000.0,4574492700.0
P02376,9806133000.0,9491804000.0,3590643700.0
P08545,19560374000.0,14670905000.0,4993996300.0
P03906,17299750000.0,13427804000.0,4651316000.0
P01135,13053751000.0,11201714000.0,3997621500.0
P06454,24605512000.0,17319195000.0,5617133000.0
P06715,20583260000.0,15177900000.0,5076513000.0
P01074,20904194000.0,15386330000.0,5208204300.0
P04482,14101317000.0,11809315000.0,4109325600.0
P09143,22275324000.0,16117158000.0,5257954000.0
P09983,19062559000.0,14412278000.0,4896011300.0
P04935,8188406000.0,8547236000.0,3249847600.0
P08493,17519837000.0,13516761000.0,4518315500.0
P05131,19477795000.0,14639581000.0,4881849000.0
P03001,10673201000.0,9965021000.0,3734048300.0
P08069,17898610000.0,13799862000.0,4653469000.0
P06846,18279550000.0,13986263000.0,4860911600.0
P03830,22275842000.0,16068889000.0,5368143000.0
P01122,22467131000.0,16237943000.0,5351197700.0
P04417,11172432000.0,10237184000.0,3775274000.0
P09056,18470126000.0,14067336000.0,4688523300.0
P03485,13496216000.0,11453778000.0,4115420200.0
P05177,18546050000.0,14163125000.0,4772521500.0
P09028,11862292000.0,10583000000.0,3813064400.0
P05898,13980940000.0,11694762000.0,4119262700.0
P02084,18235376000.0,14004802000.0,4683272700.0
P08253,20204448000.0,15041556000.0,5010536400.0
P02696,11273006000.0,10344014000.0,3653958000.0
P05822,14067720000.0,11700198000.0,4074403000.0
P02986,20646963000.0,15246619000.0,5200497700.0
P08884,19153424000.0,14384630000.0,4959097300.0
P00367,14286194000.0,11867163000.0,4079372500.0
P03709,21958339000.0,15901923000.0,5280749000.0
P08975,21784461000.0,15851674000.0,5378673700.0
P01103,22478615000.0,16244296000.0,5358002700.0
P06971,14810762000.0,12163265000.0,4249421000.0
P09324,14230362000.0,11830028000.0,4145718500.0
P03355,18148014000.0,13896448000.0,4829982700.0
P05536,8786087000.0,8877679000.0,3312533000.0
P01944,13255190000.0,11302816000.0,3910695000.0
P00633,20625244000.0,15180496000.0,5080960000.0
P06414,17950462000.0,13824510000.0,4674084000.0
P02858,12771385000.0,11039709000.0,3912762400.0
P08881,18073051000.0,13898566000.0,4839113700.0
P01875,15352130000.0,12415206000.0,4429143000.0
P07908,11853777000.0,10601794000.0,3813748700.0
P04079,13555068000.0,11428936000.0,3981778700.0
P04959,14807388000.0,12112267000.0,4287306200.0
P02504,13045516000.0,11187413000.0,4076348700.0
P02726,16021428000.0,12747577000.0,4503339500.0
P05137,13005369000.0,11211047000.0,3911213000.0
P04503,15855493000.0,12681197000.0,4496203300.0
P00612,13948928000.0,11662426000.0,4062684400.0
P08272,24929556000.0,17489242000.0,5729655000.0
P04277,12524732000.0,10924062000.0,3917333000.0
P08962,15262319000.0,12363926000.0,4257083000.0
P06110,14988036000.0,12265165000.0,4385448000.0
P01286,12142568000.0,10721008000.0,3890267100.0
P03560,14612052000.0,12032870000.0,4200936400.0
P05564,10835728000.0,10038740000.0,3623516200.0
P07392,17905220000.0,13795999000.0,4732574000.0
P01154,13483764000.0,11457142000.0,4018232300.0
P00979,21868012000.0,15876045000.0,5284534300.0
P07406,25936843000.0,18019668000.0,5864776700.0
P06904,9844627000.0,9507425000.0,3510139000.0
P05812,21325734000.0,15570022000.0,5185757000.0
P08533,12248498000.0,10804931000.0,3894986000.0
P05885,17768042000.0,13726500000.0,4674589700.0
P04770,18798203000.0,14281138000.0,4934215000.0
P05396,12437400000.0,10936214000.0,3858073900.0
P00622,12209007000.0,10779640000.0,3785290500.0
P03290,13909541000.0,11672794000.0,4187884000.0
P09571,19017183000.0,14392711000.0,4831260700.0
P01370,14297811000.0,11907475000.0,4188149000.0
P05489,15484258000.0,12468549000.0,4382291000.0
P08428,13769164000.0,11572974000.0,4173534700.0
P07538,17871491000.0,13718781000.0,4621039600.0
P05971,20126185000.0,14931888000.0,5038811000.0
P05323,16495389000.0,13043202000.0,4599769000.0
P00142,11911463000.0,10637036000.0,3805831200.0
P03671,13308735000.0,11356869000.0,4091233300.0
P05577,20786713000.0,15309618000.0,5079776000.0
P05813,21394747000.0,15633409000.0,5145671700.0
P08836,18648457000.0,14125849000.0,4797910000.0
P04246,10539753000.0,9885925000.0,3520945700.0
P07865,12899433000.0,11132518000.0,3901871900.0
P06623,18310064000.0,13995143000.0,4712802300.0
P00890,14420783000.0,11967437000.0,4256199700.0
P04633,11659075000.0,10474387000.0,3806140400.0
P00959,19102245000.0,14432737000.0,4893192000.0
P03569,9065462000.0,9036808000.0,3403058200.0
P03004,20767246000.0,15337988000.0,5189064700.0
P09554,11447344000.0,10413709000.0,3664879600.0
P06389,12176519000.0,10723283000.0,3853768000.0
P06354,9029828000.0,9002173000.0,3339176400.0
P02743,9142935000.0,9120456000.0,3463605500.0
P01164,10633409000.0,9910412000.0,3667210200.0
P05163,17993810000.0,13822094000.0,4738908000.0
P09985,19118137000.0,14347145000.0,4910137000.0
P00039,13096563000.0,11230478000.0,3956475400.0
P01328,21922836000.0,15956421000.0,5231265000.0
P07278,10788839000.0,10031436000.0,3630199300.0
P05347,17797800000.0,13722812000.0,4655223000.0
P00064,19357123000.0,14573234000.0,4905780000.0
P02849,18736220000.0,14195994000.0,4832467500.0
P00743,15335606000.0,12454609000.0,4419714000.0
P05743,14459501000.0,11986637000.0,4268408800.0
P00623,11814867000.0,10578657000.0,3718202400.0
P06452,10797123000.0,10029261000.0,3664209000.0
P09825,18838600000.0,14259010000.0,4944110000.0
P00071,15156517000.0,12317388000.0,4357334000.0
P04163,11455554000.0,10428123000.0,3730640100.0
P00703,14001607000.0,11700428000.0,4183112700.0
P00873,17601825000.0,13626925000.0,4568282000.0
P05229,14847341000.0,12145879000.0,4167698000.0
P07722,19269734000.0,14522390000.0,4931641000.0
P01920,21205678000.0,15571557000.0,5241794000.0
P08018,13261004000.0,11296385000.0,3985934300.0
P07850,23128519000.0,16536102000.0,5525423000.0
P04138,19727813000.0,14758917000.0,5054085600.0
P05619,20159275000.0,14934577000.0,4942027000.0
P07404,12677105000.0,10993723000.0,3851565600.0
P03091,22157701000.0,16053150000.0,5273654300.0
P03154,27057437000.0,18630855000.0,6026947000.0
P05517,20471090000.0,15187326000.0,5045889000.0
P03918,15689678000.0,12598103000.0,4407928300.0
P04367,16495378000.0,13081428000.0,4456262000.0
P01423,10269538000.0,9730403000.0,3531033300.0
P03987,12301075000.0,10874170000.0,3802303200.0
P01558,18925353000.0,14290907000.0,4885684000.0
P08806,11458564000.0,10371725000.0,3777976600.0
P07720,9620414000.0,9363130000.0,3427382800.0
P07684,26731592000.0,18436020000.0,6073018400.0
P05936,19235633000.0,14492699000.0,4800788500.0
P02194,13399657000.0,11355564000.0,4112620800.0
P01673,12533091000.0,10973495000.0,3934437400.0
P09279,11607995000.0,10435190000.0,3746084600.0
P03033,18611933000.0,14093727000.0,4714107400.0
P07163,18685350000.0,14146892000.0,4797385000.0
P04744,18334007000.0,14030010000.0,4728491500.0
P07946,11973984000.0,10644690000.0,3804448500.0
P08877,12261394000.0,10782283000.0,3775971300.0
P00758,12814889000.0,11080628000.0,3947309600.0
P06855,14253595000.0,11850833000.0,4088773600.0
P01155,19162542000.0,14434760000.0,4962122000.0
P02401,21115960000.0,15495441000.0,5270074000.0
P04599,11712422000.0,10492062000.0,3889202700.0
P00351,13650051000.0,11497760000.0,4074059300.0
P07446,20143567000.0,14945235000.0,5015145500.0
P08047,12051475000.0,10692923000.0,3900381200.0
P06130,8297493500.0,8609011000.0,3183382500.0
P08676,17819447000.0,13712218000.0,4656220000.0
P07695,21532447000.0,15675412000.0,5303895600.0
P01753,12958926000.0,11133426000.0,3930326500.0
P03113,16601312000.0,13105160000.0,4544547000.0
P05841,13430284000.0,11436499000.0,3965616400.0
P04733,10498985000.0,9840395000.0,3640121300.0
P03583,12816261000.0,11086634000.0,3911328500.0
P01988,13216508000.0,11280510000.0,4089094700.0
P07353,13738439000.0,11518925000.0,4113011000.0
P02536,12454673000.0,10853865000.0,3978049500.0
P04468,8433109000.0,8671023000.0,3274173400.0
P04845,9767686000.0,9433230000.0,3551151600.0
P03203,13275028000.0,11353800000.0,3940905000.0
P06085,25094980000.0,17598034000.0,5843278000.0
P03472,11176047000.0,10254999000.0,3719771600.0
P05450,14604881000.0,12053118000.0,4212527600.0
P05002,15580438000.0,12566886000.0,4363689500.0
P02090,21844750000.0,15860135000.0,5366385700.0
P07524,14690641000.0,12048132000.0,4284745700.0
P01474,11742391000.0,10562111000.0,3715321600.0
P00702,18770125000.0,14229205000.0,4899858400.0
P05697,11035519000.0,10170622000.0,3625121500.0
P01982,9625475000.0,9424283000.0,3459040300.0
P00800,14627469000.0,12072872000.0,4146239500.0
P03793,26823426000.0,18485805000.0,6012420000.0
P09001,13608219000.0,11501970000.0,4020677600.0
P03573,16589134000.0,13130004000.0,4459440000.0
P04291,17657926000.0,13601165000.0,4680216600.0
P01009,13514888000.0,11433185000.0,3978088700.0
P06168,15029881000.0,12280170000.0,4239441700.0
P04715,10931250000.0,10135980000.0,3735280000.0
P08165,18930747000.0,14284161000.0,4774237000.0
P07209,21581967000.0,15721601000.0,5306899500.0
P09740,21875528000.0,15864588000.0,5176767500.0
P03534,13090722000.0,11170163000.0,4065033200.0
P01110,14669921000.0,12102946000.0,4300514300.0
P05877,10742968000.0,9965253000.0,3704684500.0
P01999,22257717000.0,16058139000.0,5341744000.0
P06369,11785844000.0,10588049000.0,3833500200.0
P09887,20242225000.0,15008401000.0,5135386000.0
P06347,27537727000.0,18837412000.0,6132487000.0
P02698,17595420000.0,13579097000.0,4748312000.0
P07361,17746670000.0,13716646000.0,4653304000.0
P06481,18025554000.0,13820254000.0,4699684000.0
P04114,13683191000.0,11564815000.0,4007303200.0
P01728,11866879000.0,10648231000.0,3746597600.0
P09839,21143106000.0,15491033000.0,5267414000.0
P06489,8112994300.0,8465169400.0,3194144300.0
P02016,10577005000.0,9885249000.0,3643634200.0
P03758,14642470000.0,12071672000.0,4244967700.0
P07967,26978568000.0,18589830000.0,6005968000.0
P09996,21163799000.0,15464462000.0,5098128400.0
P06246,16484856000.0,13029084000.0,4444897300.0
P05083,12559038000.0,10922013000.0,3897368600.0
